onset	duration	sample	value	stage_name
95.64	157.44	191280	stage	open_loop_task
263.256	10.02	526512	stage	hold_neutral_wrist_angle
281.824	11.296	563648	stage	clockwise_wrist_circles
293.12	13.492	586240	stage	counterclockwise_wrist_circles
306.612	13.112	613224	stage	flexions_and_extensions
319.724	13.58	639448	stage	ulnar_and_radial_deviations
351.376	14.12	702752	stage	cursor_to_target_task_horizontal_low_gain_screen_1
365.5	13.88	731000	stage	cursor_to_target_task_horizontal_low_gain_screen_2
379.38	13.064	758760	stage	cursor_to_target_task_horizontal_low_gain_screen_3
392.448	14.42	784896	stage	cursor_to_target_task_horizontal_low_gain_screen_4
406.872	12.324	813744	stage	cursor_to_target_task_horizontal_low_gain_screen_5
425.176	13.692	850352	stage	cursor_to_target_task_horizontal_high_gain_screen_1
438.868	12.524	877736	stage	cursor_to_target_task_horizontal_high_gain_screen_2
451.396	14.04	902792	stage	cursor_to_target_task_horizontal_high_gain_screen_3
465.436	14.576	930872	stage	cursor_to_target_task_horizontal_high_gain_screen_4
480.012	12.764	960024	stage	cursor_to_target_task_horizontal_high_gain_screen_5
529.752	13.024	1059504	stage	cursor_to_target_task_vertical_low_gain_screen_1
542.776	11.784	1085552	stage	cursor_to_target_task_vertical_low_gain_screen_2
554.564	15.664	1109128	stage	cursor_to_target_task_vertical_low_gain_screen_3
570.228	13.872	1140456	stage	cursor_to_target_task_vertical_low_gain_screen_4
584.1	14.28	1168200	stage	cursor_to_target_task_vertical_low_gain_screen_5
604.884	15.496	1209768	stage	cursor_to_target_task_vertical_high_gain_screen_1
620.38	13.12	1240760	stage	cursor_to_target_task_vertical_high_gain_screen_2
633.5	14.848	1267000	stage	cursor_to_target_task_vertical_high_gain_screen_3
648.348	13.696	1296696	stage	cursor_to_target_task_vertical_high_gain_screen_4
662.052	14	1324104	stage	cursor_to_target_task_vertical_high_gain_screen_5
730.368	36.536	1460736	stage	cursor_to_target_task_two_d_low_gain_screen_1
766.904	35.668	1533808	stage	cursor_to_target_task_two_d_low_gain_screen_2
808.336	37.208	1616672	stage	cursor_to_target_task_two_d_high_gain_screen_1
845.548	35.132	1691096	stage	cursor_to_target_task_two_d_high_gain_screen_2
915.696	60.084	1831392	stage	smooth_pursuit_task_low_gain_1
990.816	60.06	1981632	stage	smooth_pursuit_task_low_gain_2
1056.536	60.08	2113072	stage	smooth_pursuit_task_high_gain_1
1131.652	60.108	2263304	stage	smooth_pursuit_task_high_gain_2
